"","X","student_tracking_id","ethnicity","race","frpm","rptglng","fam_income","teachersurvey_el","teachersurvey_proficiency","MPability.x","langinst","wcj_lwi_ss","wcj_wa_ss","wcj_spelling_ss","wcm_lwi_ss","grade","age_month","school","langflu","ielpac_score","MPabilitySS","ELStatus","proxy_SES","HispanicStatus","taskInst","MT","clean_school_id"
"114",114,114,"N",700,0,0,NA,NA,NA,1.68331870687772,"en",99,114,99,NA,1,91,17,"EO",NA,1.02748330579923,"EO","Ineligible","Not Hispanic","en","EO",2
"115",115,115,"N",700,0,0,NA,NA,NA,0.953556556446718,"en",71,87,80,NA,1,96,17,"EO",NA,0.0761759141773782,"EO","Ineligible","Not Hispanic","en","EO",2
"116",116,116,"N",700,0,0,NA,NA,NA,2.23248814772176,"en",NA,NA,NA,NA,1,98,17,"EO",NA,1.26648940897608,"EO","Ineligible","Not Hispanic","en","EO",2
"117",117,117,"N",700,0,0,NA,NA,NA,2.61983610548729,"en",132,132,121,NA,1,95,17,"EO",NA,1.78676451145612,"EO","Ineligible","Not Hispanic","en","EO",2
"118",118,118,"N",700,0,0,NA,NA,NA,-0.402606201291867,"en",117,116,113,NA,1,89,17,"EO",NA,-0.969823505894013,"EO","Ineligible","Not Hispanic","en","EO",2
"119",119,119,"N",700,0,0,NA,NA,NA,1.64683040750559,"en",124,117,115,NA,1,88,17,"EO",NA,1.12392215114162,"EO","Ineligible","Not Hispanic","en","EO",2
"120",120,120,"N",700,0,0,NA,NA,NA,-0.21857901292239,"en",103,118,100,NA,1,92,17,"EO",NA,-0.918723462239047,"EO","Ineligible","Not Hispanic","en","EO",2
"121",121,121,"N",700,0,0,NA,NA,NA,0.729172412392644,"en",114,NA,NA,NA,1,93,17,"EO",NA,-0.015281085162184,"EO","Ineligible","Not Hispanic","en","EO",2
"122",122,122,"N",700,0,0,NA,NA,NA,0.464980663029514,"en",115,124,100,NA,1,94,17,"EO",NA,-0.323781882763485,"EO","Ineligible","Not Hispanic","en","EO",2
"123",123,123,"Y",700,3,1,NA,1,1,-1.90459522282065,"en",82,79,77,NA,1,91,21,"EL",150,-2.56043062389914,"EL","Eligible","Hispanic","en","ES",NA
"124",124,124,"N",600,3,0,NA,0,3,-1.15357142947713,"en",70,70,70,NA,1,89,21,"EO",NA,-1.72078873407928,"EO","Eligible","Not Hispanic","en","EO",NA
"125",125,125,"Y",700,3,1,NA,1,3,2.18164140055263,"en",90,91,84,NA,1,102,21,"EL",431,1.03840646885427,"EL","Eligible","Hispanic","en","ES",NA
"126",126,126,"Y",700,3,1,NA,0,3,1.24319625148243,"en",119,124,117,NA,1,91,21,"EL",462,0.587360850403943,"EL","Eligible","Hispanic","en","ES",NA
"127",127,127,"N",600,3,0,NA,0,3,1.51371104525046,"en",98,108,92,NA,1,95,21,"EO",NA,0.680639451219291,"EO","Eligible","Not Hispanic","en","EO",NA
"128",128,128,"Y",700,0,0,NA,0,3,0.0479598325237208,"en",126,96,116,NA,1,93,21,"EO",NA,-0.696493665031107,"EO","Ineligible","Hispanic","en","EO",NA
"129",129,129,"Y",700,3,1,NA,1,3,1.60774387498359,"en",113,116,107,NA,1,92,21,"EL",302,0.907599425666933,"EL","Eligible","Hispanic","en","ES",NA
"130",130,130,"Y",700,3,0,NA,0,3,2.18325163947726,"en",126,117,122,NA,1,99,21,"EO",NA,1.17294385249341,"EO","Eligible","Hispanic","en","EO",NA
